match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_central_034,2025,区域赛,中部赛区,A组第3轮,34,合肥工业大学（宣城校区） WDR,浙江大学 Hello World,浙江大学 Hello World,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2919;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=合肥工业大学（宣城校区）;red_team=WDR;blue_school=浙江大学;blue_team=Hello World
rmuc_2025_central_035,2025,区域赛,中部赛区,A组第3轮,35,国防科技大学 军临,西安交通大学 笃行,西安交通大学 笃行,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2920;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=国防科技大学;red_team=军临;blue_school=西安交通大学;blue_team=笃行
rmuc_2025_central_036,2025,区域赛,中部赛区,A组第3轮,36,南华大学 MA,哈尔滨工业大学 I Hiter,哈尔滨工业大学 I Hiter,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2921;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南华大学;red_team=MA;blue_school=哈尔滨工业大学;blue_team=I Hiter
rmuc_2025_central_037,2025,区域赛,中部赛区,A组第3轮,37,沈阳理工大学 Ambition,合肥工业大学 苍穹,合肥工业大学 苍穹,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2922;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=沈阳理工大学;red_team=Ambition;blue_school=合肥工业大学;blue_team=苍穹
rmuc_2025_central_038,2025,区域赛,中部赛区,A组第3轮,38,湖南大学 跃鹿,东北林业大学 Ares,东北林业大学 Ares,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2923;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=湖南大学;red_team=跃鹿;blue_school=东北林业大学;blue_team=Ares
rmuc_2025_central_039,2025,区域赛,中部赛区,A组第3轮,39,长沙理工大学 云嵌,西南石油大学 铁人,西南石油大学 铁人,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2924;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=长沙理工大学;red_team=云嵌;blue_school=西南石油大学;blue_team=铁人
rmuc_2025_central_040,2025,区域赛,中部赛区,A组第3轮,40,成都大学 Ultra,湘潭大学 逐曦,成都大学 Ultra,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2925;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=成都大学;red_team=Ultra;blue_school=湘潭大学;blue_team=逐曦
rmuc_2025_central_041,2025,区域赛,中部赛区,B组第3轮,41,中国科学技术大学 RoboWalker,上海交通大学 交龙,上海交通大学 交龙,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2926;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=中国科学技术大学;red_team=RoboWalker;blue_school=上海交通大学;blue_team=交龙
rmuc_2025_central_042,2025,区域赛,中部赛区,B组第3轮,42,中南大学 FYT,南京航空航天大学金城学院 Born of Fire,南京航空航天大学金城学院 Born of Fire,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2927;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=中南大学;red_team=FYT;blue_school=南京航空航天大学金城学院;blue_team=Born of Fire
rmuc_2025_central_043,2025,区域赛,中部赛区,B组第3轮,43,安徽信息工程学院 Artisans,西安电子科技大学 IRobot,西安电子科技大学 IRobot,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2928;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=安徽信息工程学院;red_team=Artisans;blue_school=西安电子科技大学;blue_team=IRobot
